id,titulo,categoria,descripcion
183,A Bug's Life,Animación,"La hormiga Flik viaja a la ciudad para encontrar guerreros que defiendan su colonia del temible Hopper y los saltamontes. La valentía es contagiosa."
184,El príncipe de Egipto,Animación,"La historia de Moisés desde su infancia como príncipe de Egipto hasta su misión de liberar al pueblo hebreo de la esclavitud bajo el liderazgo de Ramsés."
185,José el rey de los sueños,Animación,"José es vendido como esclavo por sus hermanos pero su don para interpretar sueños lo lleva a convertirse en el visir de Egipto y salvar a su familia."
186,La película de los Teleñecos,Animación,"Los Teleñecos se reúnen para evitar que un malvado petrolero destruya su estudio. La música y la amistad los salvan una vez más."
187,Los Muppets,Animación,"Los Muppets vuelven a reunirse para salvar su teatro de un magnate que quiere demolerlo. Su último show será legendario."
188,El regreso de los Muppets,Animación,"Los Muppets viajan por Europa en busca de tesoros y aventuras. La comedia y el caos los persiguen a cada paso."
189,El show de los Muppets,Animación,"Los Muppets presentan su propio programa de televisión con invitados especiales. Los números musicales y las ocurrencias son el centro del show."
190,Los Muppets en la isla del tesoro,Animación,"Los Muppets narran la aventura de Jim Hawkins en busca del tesoro del capitán Flint. El humor y la música acompañan la travesía."
191,El cuento de la princesa Kaguya,Animación,"Una princesa de origen lunar crece como humana en la Tierra. Su belleza y su dolor por la separación la llevan a regresar a su hogar celestial."
192,El recuerdo de Marnie,Animación,"Una niña tímida pasa el verano en el campo y entabla amistad con una misteriosa niña llamada Marnie. El vínculo revela secretos familiares."
193,Arriety y el mundo de los diminutos,Animación,"Una familia de diminutos vive oculta bajo el suelo de una casa humana. La amistad con un niño pone en peligro su existencia."
194,El viento se levanta,Animación,"La vida del diseñador de aviones Jiro Horikoshi desde sus sueños de infancia hasta la creación de los aviones de guerra que marcaron la historia."
195,La colina de las amapolas,Animación,"Dos estudiantes en el Japón de los 60 luchan por salvar su club de la demolición. La amistad y el amor florecen en medio del activismo."
196,El reino de los gatos,Animación,"Una niña salva a un gato y es invitada al reino felino donde debe decidir su destino. La fantasía y la aventura la llevan a descubrir su valor."
197,Porco Rosso,Animación,"Un piloto italiano que ha sido transformado en cerdo por una maldición defiende el mar Adriático de piratas aéreos. El honor y el amor lo guían."
198,Nausicaä del valle del viento,Animación,"En un mundo postapocalíptico una princesa guerrera busca la paz entre los humanos y los insectos gigantes que habitan el bosque tóxico."
199,El castillo de Cagliostro,Animación,"El ladrón Lupin III investiga el misterio del castillo de Cagliostro y descubre una conspiración relacionada con la moneda falsa y un amor del pasado."
200,El gaucho,Animación,"Un gaucho en la pampa argentina debe proteger su hogar y su familia de los terratenientes que quieren despojarlos de sus tierras. La lucha es por la tierra y la identidad."
